Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,126.349998,127.250000,126.150002,126.699997,122.030647,6592414
2023-06-07,127.000000,128.250000,127.000000,128.100006,123.379059,12076543
2023-06-08,127.900002,128.199997,126.550003,126.849998,122.175117,5140735
2023-06-09,127.500000,128.199997,127.400002,127.800003,123.090111,5551953
2023-06-12,128.500000,129.300003,128.500000,129.000000,124.245880,13721287
2023-06-13,130.199997,131.949997,130.199997,131.550003,126.701904,23438202
2023-06-14,131.399994,131.600006,131.000000,131.500000,126.653748,6676993
2023-06-15,131.550003,132.000000,131.500000,131.899994,127.039009,11041119
2023-06-16,131.800003,131.800003,131.100006,131.550003,126.701904,7202216
2023-06-19,130.949997,131.500000,130.550003,131.250000,126.412956,5978996
2023-06-20,131.100006,131.250000,130.350006,130.550003,125.738770,6528969
2023-06-21,130.550003,131.050003,130.250000,130.550003,125.738770,26565515
2023-06-26,130.350006,130.350006,129.399994,129.750000,124.968246,7393403
2023-06-27,129.149994,129.550003,128.699997,128.899994,124.149567,6574049
2023-06-28,129.350006,129.699997,128.800003,129.100006,124.342201,5695853
2023-06-29,129.750000,130.500000,128.899994,129.050003,124.294044,5696517
2023-06-30,128.800003,129.100006,128.300003,129.100006,124.342201,7029188
2023-07-03,129.600006,130.699997,129.600006,130.699997,125.883232,6622825
2023-07-04,130.750000,131.149994,130.550003,131.000000,126.172180,5679670
2023-07-05,131.000000,131.199997,130.399994,130.800003,125.979553,5000942
2023-07-06,129.699997,129.699997,127.699997,127.900002,123.186424,16402276
2023-07-07,127.550003,128.300003,127.099998,127.699997,122.993790,8020402
2023-07-10,128.100006,128.500000,127.000000,127.449997,122.753006,7871639
2023-07-11,128.000000,129.199997,128.000000,129.199997,124.438515,4540434
2023-07-12,129.300003,129.449997,128.850006,129.449997,124.679298,3439451
2023-07-13,131.300003,131.899994,130.850006,130.899994,126.075851,15666309
2023-07-14,131.449997,132.500000,131.449997,132.250000,127.376106,14732246
2023-07-17,132.000000,132.199997,131.750000,132.000000,127.135315,15278402
2023-07-18,131.000000,131.000000,129.699997,129.850006,126.891022,10837561
2023-07-19,130.149994,130.500000,128.750000,128.750000,125.816086,14299678
2023-07-20,129.050003,129.699997,129.000000,129.350006,126.402420,3721944
2023-07-21,127.400002,127.400002,126.500000,127.199997,124.301399,12757197
2023-07-24,127.000000,127.650002,126.599998,127.250000,124.350266,9725181
2023-07-25,127.699997,129.199997,127.699997,128.850006,125.913811,6922790
2023-07-26,129.100006,129.199997,128.350006,128.500000,125.571785,4396742
2023-07-27,129.149994,129.500000,129.000000,129.500000,126.548996,4006903
2023-07-28,129.399994,129.899994,129.000000,129.500000,126.548996,2680637
2023-07-31,130.300003,130.649994,128.250000,128.800003,125.864952,7248552
2023-08-01,129.000000,129.550003,128.850006,129.449997,126.500130,4447765
2023-08-02,129.399994,129.449997,127.449997,127.849998,124.936592,12005721
2023-08-04,127.250000,127.500000,126.900002,127.250000,124.350266,6734916
2023-08-07,127.650002,128.699997,127.550003,128.500000,125.571785,4601873
2023-08-08,128.100006,128.199997,126.400002,127.000000,124.105965,10517511
2023-08-09,126.800003,127.650002,126.650002,127.199997,124.301399,3664399
2023-08-10,126.900002,127.000000,126.300003,126.400002,123.519638,10895898
2023-08-11,127.000000,127.349998,126.150002,126.300003,123.421921,7747852
2023-08-14,125.650002,125.699997,124.099998,124.500000,121.662933,22566685
2023-08-15,125.250000,125.449997,124.599998,124.699997,121.858376,7411088
2023-08-16,124.150002,124.400002,123.599998,124.050003,121.223190,18073063
2023-08-17,123.599998,124.650002,122.900002,124.599998,121.760651,9633859
2023-08-18,124.199997,124.800003,123.699997,123.849998,121.027740,7600720
2023-08-21,124.199997,124.449997,123.000000,123.000000,120.197113,10059231
2023-08-22,124.000000,124.349998,123.699997,124.000000,121.174324,3641145
2023-08-23,124.000000,125.150002,124.000000,124.849998,122.004959,6784070
2023-08-24,126.400002,127.099998,126.250000,127.000000,124.105965,6673689
2023-08-25,125.500000,125.500000,124.500000,124.550003,121.711800,7188718
2023-08-28,124.849998,125.699997,124.750000,125.349998,122.493561,4314749
2023-08-29,126.000000,126.050003,124.699997,126.050003,123.177612,6490091
2023-08-30,126.750000,127.050003,126.099998,126.599998,123.715080,5749445
2023-08-31,126.550003,126.550003,125.500000,125.699997,122.835587,4356039
2023-09-01,125.500000,126.300003,125.099998,125.900002,123.031029,3081927
2023-09-04,125.900002,126.800003,125.599998,126.750000,123.861664,3422663
2023-09-05,126.550003,126.599998,126.050003,126.449997,123.568497,3622409
2023-09-06,126.599998,126.699997,125.849998,126.000000,123.128754,7334521
2023-09-07,125.300003,125.500000,124.699997,124.849998,122.004959,5650194
2023-09-08,124.099998,124.500000,123.849998,124.300003,121.467491,5527633
2023-09-11,124.449997,124.500000,123.400002,123.800003,120.978889,8256632
2023-09-12,124.099998,125.050003,123.849998,125.050003,122.200401,2599673
2023-09-13,125.199997,125.599998,124.699997,125.199997,122.346977,3205783
2023-09-14,125.900002,126.949997,125.550003,126.949997,124.057098,7177900
2023-09-15,127.000000,127.349998,126.750000,127.349998,124.447983,5733382
2023-09-18,126.599998,126.599998,125.849998,126.000000,123.128754,7095909
2023-09-19,125.849998,126.050003,125.349998,125.449997,122.591278,4017342
2023-09-20,125.050003,125.199997,124.500000,124.750000,121.907234,5948291
2023-09-21,123.800003,123.849998,122.650002,122.750000,119.952812,21170710
2023-09-22,122.449997,122.800003,122.050003,122.650002,119.855095,9559383
2023-09-25,122.750000,123.750000,122.750000,123.550003,120.734581,3993132
2023-09-26,122.650002,123.000000,122.000000,122.099998,119.317619,10076754
2023-09-27,121.849998,122.300003,121.550003,122.150002,119.366486,6527530
2023-09-28,122.750000,123.150002,122.050003,122.650002,119.855095,5539327
2023-10-02,123.599998,124.500000,123.599998,124.250000,121.418633,6461262
2023-10-03,123.949997,124.150002,123.449997,123.500000,120.685722,5068454
2023-10-04,122.099998,122.199997,121.349998,121.900002,119.122185,11225027
2023-10-05,122.400002,123.650002,122.400002,123.650002,120.832306,4105490
2023-10-06,123.800003,124.300003,123.800003,124.099998,121.272049,4884995
2023-10-11,125.900002,126.400002,125.849998,126.250000,123.373055,13497019
2023-10-12,126.500000,127.349998,126.300003,127.300003,124.399132,14297014
2023-10-13,127.000000,127.400002,126.500000,126.949997,124.057098,6362821
2023-10-16,126.300003,126.300003,125.699997,126.250000,123.373055,7742041
2023-10-17,126.699997,127.000000,126.400002,126.550003,123.666222,6836037
2023-10-18,126.250000,126.250000,124.800003,124.800003,121.956100,9566032
2023-10-19,124.400002,125.199997,124.400002,124.849998,122.004959,7826245
2023-10-20,124.750000,125.449997,123.900002,125.400002,122.542427,4387291
2023-10-23,124.849998,124.849998,123.550003,123.849998,121.027740,8037320
2023-10-24,123.800003,123.949997,122.699997,123.949997,121.125465,7197186
2023-10-25,124.199997,124.900002,124.199997,124.199997,121.369766,3980090
2023-10-26,121.849998,122.400002,121.599998,121.750000,118.975601,21974122
2023-10-27,122.150002,122.750000,122.099998,122.300003,119.513069,4068937
2023-10-30,122.400002,122.849998,121.750000,122.000000,119.219902,9138352
2023-10-31,122.400002,122.449997,121.099998,121.150002,118.389275,10780877
2023-11-01,122.000000,122.150002,121.250000,121.750000,118.975601,4422327
2023-11-02,123.150002,124.500000,123.150002,124.500000,121.662933,9808212
2023-11-03,125.000000,125.599998,124.699997,125.449997,122.591278,8698568
2023-11-06,126.550003,127.199997,126.349998,126.550003,123.666222,15923199
2023-11-07,126.500000,126.800003,126.099998,126.500000,123.617355,6543113
2023-11-08,126.650002,127.449997,126.500000,127.199997,124.301399,11100679
2023-11-09,126.900002,127.400002,126.650002,127.250000,124.350266,6226873
2023-11-10,126.699997,126.849998,126.400002,126.750000,123.861664,4251571
2023-11-13,129.250000,129.600006,128.500000,128.699997,125.767220,25387556
2023-11-14,129.199997,129.600006,128.949997,129.000000,126.060387,20094457
2023-11-15,130.899994,131.000000,130.050003,130.550003,127.575073,22791049
2023-11-16,130.800003,131.199997,130.300003,130.600006,127.623932,18329336
2023-11-17,130.600006,131.500000,130.550003,131.000000,128.014816,27147588
2023-11-20,131.050003,131.050003,130.449997,130.949997,127.965950,8660375
2023-11-21,131.449997,132.699997,131.449997,132.550003,129.529495,28378346
2023-11-22,131.250000,131.800003,131.149994,131.350006,128.356842,6137072
2023-11-23,131.350006,131.449997,130.750000,131.300003,128.307983,6234316
2023-11-24,131.300003,131.649994,131.050003,131.199997,128.210251,13309402
2023-11-27,131.199997,131.850006,130.100006,130.350006,127.379631,9431776
2023-11-28,130.399994,131.800003,130.300003,131.250000,128.259109,9568971
2023-11-29,131.300003,132.199997,131.050003,131.149994,128.161392,6617577
2023-11-30,131.300003,131.500000,130.649994,131.350006,128.356842,10917331
2023-12-01,131.000000,131.800003,130.800003,131.800003,128.796585,5299640
2023-12-04,131.800003,132.000000,130.899994,131.300003,128.307983,4399034
2023-12-05,130.600006,130.600006,129.899994,130.350006,127.379631,4777966
2023-12-06,130.399994,131.399994,130.399994,130.800003,127.819374,7137049
2023-12-07,130.600006,130.649994,130.000000,130.000000,127.037598,2738659
2023-12-08,131.149994,131.600006,130.899994,131.050003,128.063675,13023952
2023-12-11,131.050003,131.350006,130.649994,131.199997,128.210251,3129838
2023-12-12,131.899994,132.050003,131.350006,131.500000,128.503418,5475510
2023-12-13,131.600006,131.800003,131.399994,131.550003,128.552277,2940436
2023-12-14,132.649994,133.449997,132.500000,133.149994,130.115814,32006517
2023-12-15,133.649994,134.199997,133.649994,133.699997,130.653290,18378835
2023-12-18,133.649994,133.899994,132.600006,133.899994,130.848724,6651997
2023-12-19,133.800003,133.800003,132.750000,133.399994,130.360123,5606247
2023-12-20,133.550003,133.850006,133.399994,133.750000,130.702148,6615835
2023-12-21,132.199997,132.699997,132.050003,132.600006,129.578354,5354951
2023-12-22,132.600006,133.100006,132.600006,132.949997,129.920380,6204194
2023-12-25,133.000000,133.800003,132.949997,133.500000,130.457840,8080412
2023-12-26,133.500000,134.399994,133.500000,134.250000,131.190750,16816964
2023-12-27,134.399994,135.899994,134.350006,135.750000,132.656570,29950035
2023-12-28,135.750000,136.000000,135.449997,135.750000,132.656570,14848296
2023-12-29,135.699997,136.000000,135.350006,135.449997,132.363403,13111608
2024-01-02,135.600006,135.949997,134.649994,134.899994,131.825928,5922076
2024-01-03,133.699997,133.899994,132.300003,132.550003,129.529495,13547475
2024-01-04,132.550003,132.750000,132.300003,132.500000,129.480637,4567593
2024-01-05,132.550003,132.949997,132.100006,132.149994,129.138596,3999671
2024-01-08,133.000000,133.600006,132.750000,132.750000,129.724930,9394720
2024-01-09,133.850006,133.949997,132.750000,133.000000,129.969238,5701015
2024-01-10,132.399994,132.649994,132.000000,132.300003,129.285187,6781470
2024-01-11,132.449997,133.250000,132.350006,132.850006,129.822662,5626078
2024-01-12,132.199997,133.050003,131.949997,132.649994,129.627213,6484397
2024-01-15,132.649994,132.649994,132.649994,132.649994,129.627213,0
2024-01-16,132.050003,132.300003,131.100006,131.649994,128.649994,21976296
2024-01-17,130.000000,130.000000,127.300003,127.449997,127.449997,36343304
2024-01-18,127.900002,128.550003,127.900002,128.300003,128.300003,7092093
2024-01-19,131.699997,133.100006,131.100006,132.899994,132.899994,26037458
2024-01-22,133.800003,134.350006,133.350006,133.800003,133.800003,12942433
2024-01-23,133.899994,134.250000,133.500000,134.050003,134.050003,6902435
2024-01-24,134.149994,134.399994,133.949997,134.000000,134.000000,14170358
2024-01-25,135.050003,135.699997,134.899994,135.649994,135.649994,26069508
2024-01-26,135.649994,135.949997,135.300003,135.649994,135.649994,15825062
2024-01-29,135.649994,136.649994,135.600006,136.500000,136.500000,26636234
2024-01-30,136.350006,136.649994,136.050003,136.149994,136.149994,9561024
2024-01-31,135.250000,135.300003,134.350006,134.350006,134.350006,6784892
2024-02-01,134.350006,134.500000,133.600006,134.350006,134.350006,8395975
2024-02-02,135.000000,135.199997,134.649994,135.100006,135.100006,8904238
2024-02-05,135.100006,136.199997,135.000000,135.949997,135.949997,17212735
2024-02-15,142.199997,142.699997,141.399994,142.350006,142.350006,41725562
2024-02-16,142.350006,142.350006,141.199997,141.300003,141.300003,17653469
2024-02-19,141.000000,141.250000,140.600006,141.100006,141.100006,8998748
2024-02-20,140.550003,142.000000,140.399994,141.649994,141.649994,13318332
2024-02-21,141.399994,141.500000,141.050003,141.199997,141.199997,10354985
2024-02-22,142.949997,143.050003,141.850006,142.800003,142.800003,12370608
2024-02-23,143.449997,144.100006,143.300003,143.750000,143.750000,19158185
2024-02-26,143.699997,144.000000,143.000000,143.949997,143.949997,9794806
2024-02-27,143.949997,144.199997,142.649994,143.350006,143.350006,5980672
2024-02-29,143.000000,143.949997,142.699997,143.300003,143.300003,6847612
2024-03-01,143.550003,143.949997,142.800003,142.800003,142.800003,8661757
2024-03-04,145.000000,147.199997,144.850006,146.949997,146.949997,24392898
2024-03-05,147.750000,148.550003,147.350006,148.149994,148.149994,16370927
2024-03-06,147.000000,149.050003,146.399994,148.850006,148.850006,16533192
2024-03-07,151.000000,153.000000,150.750000,152.300003,152.300003,29615317
2024-03-08,155.600006,156.449997,153.000000,154.449997,154.449997,28959251
2024-03-11,153.850006,154.199997,152.550003,152.899994,152.899994,13014410
2024-03-12,152.199997,154.600006,152.100006,154.500000,154.500000,14671140
2024-03-13,155.550003,156.149994,154.949997,155.250000,155.250000,12824151
2024-03-14,154.899994,155.800003,154.300003,155.100006,155.100006,8318618
2024-03-15,154.300003,154.750000,153.000000,153.000000,153.000000,8600954
2024-03-18,153.000000,154.500000,153.000000,154.399994,154.399994,17937768
2024-03-19,153.399994,154.550003,153.000000,154.050003,154.050003,8569789
2024-03-20,154.199997,155.300003,153.000000,153.199997,153.199997,10080404
2024-03-21,155.550003,157.699997,155.550003,157.399994,157.399994,19960806
2024-03-22,157.500000,158.250000,156.500000,157.199997,157.199997,7137094
