Date,Open,High,Low,Close,Adj Close,Volume
2023-03-23,528.000000,539.000000,528.000000,538.000000,527.292053,26728246
2023-03-24,536.000000,539.000000,535.000000,539.000000,528.272156,21926240
2023-03-27,533.000000,536.000000,531.000000,531.000000,520.431335,16111177
2023-03-28,525.000000,530.000000,524.000000,525.000000,514.550781,17234120
2023-03-29,533.000000,533.000000,525.000000,530.000000,519.451233,17280749
2023-03-30,536.000000,537.000000,531.000000,535.000000,524.351685,19201564
2023-03-31,538.000000,538.000000,532.000000,533.000000,522.391541,23558838
2023-04-06,530.000000,531.000000,526.000000,530.000000,519.451233,25423363
2023-04-07,535.000000,535.000000,529.000000,531.000000,520.431335,8557482
2023-04-10,533.000000,533.000000,528.000000,529.000000,518.471130,7435151
2023-04-11,522.000000,527.000000,522.000000,524.000000,513.570679,22675697
2023-04-12,523.000000,524.000000,517.000000,520.000000,509.650299,23816473
2023-04-13,515.000000,517.000000,510.000000,510.000000,499.849274,25536889
2023-04-14,516.000000,520.000000,513.000000,516.000000,505.729828,18072504
2023-04-17,519.000000,520.000000,514.000000,520.000000,509.650299,14634287
2023-04-18,518.000000,520.000000,514.000000,515.000000,504.749786,15168888
2023-04-19,517.000000,518.000000,509.000000,510.000000,499.849274,21123233
2023-04-20,512.000000,516.000000,510.000000,513.000000,502.789551,17221961
2023-04-21,520.000000,520.000000,510.000000,511.000000,500.829346,25016683
2023-04-24,505.000000,510.000000,504.000000,507.000000,496.909027,16886512
2023-04-25,504.000000,505.000000,498.000000,498.000000,488.088104,36898412
2023-04-26,498.000000,498.500000,491.000000,491.500000,481.717468,31269245
2023-04-27,491.000000,495.000000,489.000000,493.500000,483.677704,29537148
2023-04-28,498.500000,502.000000,498.000000,502.000000,492.008514,24824100
2023-05-02,500.000000,502.000000,496.500000,501.000000,491.028412,15325791
2023-05-03,496.000000,498.000000,495.000000,496.000000,486.127930,11369311
2023-05-04,497.000000,499.500000,496.000000,498.000000,488.088104,13140291
2023-05-05,500.000000,502.000000,498.500000,500.000000,490.048340,7488897
2023-05-08,509.000000,509.000000,502.000000,504.000000,493.968689,11243634
2023-05-09,507.000000,510.000000,505.000000,510.000000,499.849274,16197743
2023-05-10,508.000000,508.000000,500.000000,503.000000,492.988617,18859212
2023-05-11,506.000000,506.000000,498.500000,499.000000,489.068207,13382927
2023-05-12,496.000000,500.000000,495.000000,496.000000,486.127930,18465362
2023-05-15,497.000000,499.500000,494.500000,495.500000,485.637878,13315766
2023-05-16,503.000000,508.000000,500.000000,505.000000,494.948792,21140315
2023-05-17,508.000000,521.000000,506.000000,519.000000,508.670166,41406763
2023-05-18,533.000000,536.000000,526.000000,530.000000,519.451233,43096277
2023-05-19,535.000000,535.000000,529.000000,532.000000,521.411438,32099068
2023-05-22,532.000000,533.000000,529.000000,531.000000,520.431335,17208135
2023-05-23,530.000000,531.000000,525.000000,530.000000,519.451233,19588873
2023-05-24,527.000000,528.000000,524.000000,525.000000,514.550781,19086681
2023-05-25,542.000000,545.000000,537.000000,543.000000,532.192505,63827245
2023-05-26,568.000000,568.000000,563.000000,566.000000,554.734680,95808471
2023-05-29,574.000000,574.000000,564.000000,568.000000,556.694824,54657853
2023-05-30,566.000000,568.000000,563.000000,566.000000,554.734680,40136130
